Horodateur,De quel streamer as-tu suivi la saison en majorité ?,"1 - Héros de la saison

Un joueur reconnu pour son intégrité et son honneur, bien qu'il soit prêt à quelques mensonges pour gagner. Il veut porter la saison vers le haut.","2 - Vilain de la saison

Un joueur prêt à tout pour gagner, même les manigances les plus maléfiques. Mensonges, trahisons et manipulation sont ses mots fétiches.","3 - Best Prémerge

Une personne qui a été éliminé en pre-merge (de 11ème à 18ème) qui vous a particulièrement marquée, que ça soit par son jeu ou juste par simple fait que vous l'appréciez beaucoup !","4 - Mérite de revenir

Le joueur qui devrait ABSOLUMENT avoir une seconde chance car il n'a pas eu le temps de montrer tout ce qu'il avait dans le ventre ou alors que vous l'avez juste adoré et que vous voulez revoir ses prouesses.","5 - Surprise de la saison

Le joueur qui vous a le plus surpris. Au début de la saison, vous vous dites que X n'allait pas faire grand chose/n'allait pas tenir longtemps, et au final, il a accompli bien plus que vous le pensiez !","6 - Best Stratège

Celui qui a fait le plus de stratégies, aussi bien de façon ouverte que dans le dos des gens. Il veut contrôler son destin à 100%, mais aussi celui des autres ...","7 - Best Social

Celui qui a réussi à nouer de nombreuses relations avec les personnes sur le campement. Il veut peut-être avoir beaucoup d'alliances, ou peut tout justement bien s'entendre avec tout le monde par son enthousiasme !","8 - Best Conseil

Quel a été le meilleur conseil de la saison, le plus marquant ? Celui qui a été éliminé à ce conseil emporte cet award ... c'est un bon compromis, non ?","9 - Challenge Beast

Qui est le joueur ayant le plus dominé sur les épreuves lors de la saison ?","10 - Best alliance

Quelle était la meilleure alliance (au moins 3 personnes)
Il y a différentes propositions, mais vous êtes libres d'ajouter une autre alliance, merci de respecter la syntaxe suivante : 
[Pseudo1]/[Pseudo2]/[Pseudo3]/...","11 - Best Rivalité

2 personnes qui ne peuvent pas se saquer ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo, merci de respecter la syntaxe suivante :
[Pseudo1]/[Pseudo2])","12 - Best Duo

Le duo qui a marqué la saison ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo, merci de respecter la syntaxe suivante : 
[Pseudo1]/[Pseudo2]","13 - Best Avantage Play

Quel avantage a été le mieux joué selon vous, et a le plus retourné le jeu en la faveur de la personne ?","14 - Worst Avantage Play

A contrario, quel avantage a été le moins bien joué dans la saison ?","15 - Best move

Quel move (pas forcément avec un avantage) a été réalisé cette saison et que vous avez préféré ?","16 - Fan Favorite

Quel a été le joueur que vous avez globalement adoré, peu importe les critères.
LE joueur parmi les joueurs !","17 - Meme de la saison

Le meme de la saison. Une chose drôle à laquelle on pense DIRECTEMENT quand on parle de la S21 !",Si vous devriez mettre une note à la saison ...,(Si vous voulez mettre un petit commentaire sur la saison)
22/03/2025 22:53:28,Julgane,? - Julgane,? - Mathox,16 - Sundae,? - Anaee,? - Anaee,? - Mathox,8 - Jimmy,5 - Lvcyd,? - Mathox,Anaee/Julgane/Guill/Jimmy,Laupok/Martin,Anaee/Julgane,Mathox joue son idol sur Lvcyd (F7),Flannou joue son idol (F8),Laupok fait un gros blindside sur Ponk (F15),,L'épreuve la plus buguée est celle de Stoupy,20/20,
22/03/2025 22:53:29,Humility,7 - Guill,17 - Gomart,12 - Kao,? - Humility,? - Humility,7 - Guill,? - Humility,7 - Guill,? - Mathox,Guill/Humility/Lucxd/Jimmy,Mathox/Guill,Humility/Jimmy,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Humility,Lvcyd qui vole tout sur les épreuves,20/20,Bravo aux staffs et aux participants :D C'était trop cool ! :) 
22/03/2025 22:53:31,Guill,8 - Jimmy,? - Mathox,16 - Sundae,15 - Martin (Ponk),? - Humility,5 - Lvcyd,? - Humility,6 - Flannou,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Guill,Laupok/Gomart,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Les verts ont tout perdu,14/20,"Super saison, le seul truc dommage c'est les insultes sur les tchat envers d'autres joueurs avec l'absence quasi totale de modération"
22/03/2025 22:53:32,Laupok,11 - Laupok,? - Mathox,17 - Gomart,17 - Gomart,? - Anaee,7 - Guill,? - Julgane,11 - Laupok,? - Mathox,Anaee/Julgane/Guill/Jimmy,Mathox/Guill,Guill/Laupok,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Les verts ont tout perdu,20/20,
22/03/2025 22:53:40,Guill,? - Humility,? - Mathox,,7 - Guill,6 - Flannou,7 - Guill,? - Julgane,7 - Guill,? - Mathox,Guill/Lvcyd/Mathox/Humility,Flannou/Guill,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Humility,Les verts ont tout perdu,18/20,
22/03/2025 22:53:41,Guill,? - Humility,11 - Laupok,15 - Martin (Ponk),15 - Martin (Ponk),? - Humility,? - Mathox,5 - Lvcyd,6 - Flannou,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",5 - Lvcyd,L'idol jaune qui s'est faite marchée dessus pendant 5 épisodes,17/20,
22/03/2025 22:53:41,Guill,? - Julgane,11 - Laupok,16 - Sundae,15 - Martin (Ponk),? - Mathox,? - Mathox,? - Anaee,7 - Guill,? - Mathox,Guill/Lvcyd/Mathox/Humility,Mathox/Guill,Mathox/Lvcyd,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Mathox,Lvcyd qui vole tout sur les épreuves,18/20,
22/03/2025 22:53:43,Jimmy,8 - Jimmy,? - Mathox,13 - Lapin,8 - Jimmy,6 - Flannou,? - Mathox,? - Julgane,10 - DemaZelle,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Flannou joue son idol (F10),Jimmy organise une pièce de théâtre poussant les autres survivants à le voter,8 - Jimmy,Les Hwasan développent une addiction aux croissants,18/20,super saison :)
22/03/2025 22:53:44,Mathox,? - Mathox,? - Mathox,13 - Lapin,7 - Guill,? - Mathox,? - Mathox,? - Mathox,7 - Guill,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Mathox/Guill,Mathox/Kao,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Mathox,Mathox qui construit son Harem,17/20,
22/03/2025 22:53:47,Guill,7 - Guill,? - Mathox,12 - Kao,8 - Jimmy,? - Humility,? - Mathox,? - Humility,6 - Flannou,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Flannou/Jimmy,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",7 - Guill,Mathox qui construit son Harem,20/20,J'ai passé un moment super sur cette saison je ne connaissais pas du tout ! ça faisais longtemps que j'avais pas regarder une série Minecraft avec autant d'intérêt ça fais du bien et ce concept est incroyable. J'aimerais tellement un jour y participer. Merci au staff pour tout au plaisir.  
22/03/2025 22:53:47,Guill,? - Mathox,7 - Guill,12 - Kao,7 - Guill,? - Humility,7 - Guill,5 - Lvcyd,5 - Lvcyd,? - Mathox,Guill/Lvcyd/Mathox/Humility,Flannou/Jimmy,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),10 - DemaZelle,Julgane qui a passé sa vie à random.org au lieu de créer du content,15/20,
22/03/2025 22:53:49,Julgane,? - Humility,15 - Martin (Ponk),12 - Kao,15 - Martin (Ponk),12 - Kao,? - Julgane,? - Julgane,5 - Lvcyd,? - Mathox,Mathox/Kao/Clem/Lucyd,Flannou/Guill,Mathox/Kao,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),? - Mathox,Mathox qui construit son Harem,20/20,
22/03/2025 22:53:50,Guill,? - Mathox,7 - Guill,16 - Sundae,? - Mathox,5 - Lvcyd,7 - Guill,? - Mathox,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Flannou joue son idol (F8),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Mathox,Lvcyd qui vole tout sur les épreuves,17/20,La fin est nulle (selon moi) car personne se bat pour gagner (après l'élimination de Guill) ce qui rend le jeu beaucoup moins fun à regarder 
22/03/2025 22:53:51,Julgane,11 - Laupok,? - Mathox,16 - Sundae,11 - Laupok,? - Humility,? - Mathox,11 - Laupok,16 - Sundae,17 - Gomart,Laupok/Flannou/Jimmy,Flannou/Jimmy,Anaee/Julgane,Lvcyd joue son extra-vote sur Jimmy (F10),Flannou joue son idol (F8),Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,Les verts ont tout perdu,18/20,Aaaaaaaaaah
22/03/2025 22:53:51,Mathox,7 - Guill,,12 - Kao,9 - Clem (ThatDanmGirl),? - Humility,? - Mathox,5 - Lvcyd,7 - Guill,? - Mathox,Mathox/Kao/Clem/Lucyd,Flannou/Jimmy,Lvcyd/Flannou,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",5 - Lvcyd,Lvcyd qui vole tout sur les épreuves,18/20,
22/03/2025 22:53:59,Guill,11 - Laupok,? - Mathox,16 - Sundae,12 - Kao,? - Anaee,? - Mathox,? - Humility,16 - Sundae,? - Mathox,Guill/Lvcyd/Mathox/Humility,Laupok/Martin,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Julgane,Kao et ses vannes sur tout (notamment les champignons),17/20,
22/03/2025 22:54:06,Jimmy,? - Julgane,? - Mathox,14 - Chloe,18 - Cizayoxy,6 - Flannou,? - Mathox,? - Humility,8 - Jimmy,? - Mathox,Anaee/Julgane/Guill/Jimmy,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Humility,Les Hwasan développent une addiction aux croissants,20/20,"Super saison qui donne envie de faire pareil avec ces amis que ce soit pour un moment ensemble, vérifier la fidélité et confiance entre nous ou quelqu'un spécifique ou renforcer notre travail d'équipe et d'entente avec les épreuves. "
22/03/2025 22:54:09,Mathox,5 - Lvcyd,? - Anaee,12 - Kao,9 - Clem (ThatDanmGirl),5 - Lvcyd,7 - Guill,5 - Lvcyd,7 - Guill,? - Mathox,Mathox/Kao/Clem/Lucyd,Flannou/Jimmy,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Mathox,Mathox qui construit son Harem,14/20,
22/03/2025 22:54:11,Guill,? - Humility,? - Mathox,16 - Sundae,7 - Guill,? - Anaee,? - Mathox,? - Julgane,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",7 - Guill,Kao et ses vannes sur tout (notamment les champignons),18/20,
22/03/2025 22:54:12,Guill,6 - Flannou,11 - Laupok,15 - Martin (Ponk),18 - Cizayoxy,6 - Flannou,? - Mathox,? - Humility,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou,Flannou/Jimmy,Lvcyd/Flannou,Mathox joue son idol sur Lvcyd (F7),Flannou joue son idol (F10),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),7 - Guill,LAUPOK,19/20,
22/03/2025 22:54:14,Mathox,? - Mathox,? - Mathox,12 - Kao,6 - Flannou,? - Anaee,? - Mathox,5 - Lvcyd,10 - DemaZelle,? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Laupok/Martin,Mathox/Lvcyd,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),? - Mathox,Lvcyd qui vole tout sur les épreuves,17/20,
22/03/2025 22:54:20,Guill,7 - Guill,? - Mathox,16 - Sundae,11 - Laupok,? - Humility,7 - Guill,? - Julgane,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Laupok/Martin,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),? - Humility,Mathox qui construit son Harem,20/20,"Merci,c'était incroyable !"
22/03/2025 22:54:22,Guill,? - Humility,11 - Laupok,15 - Martin (Ponk),11 - Laupok,11 - Laupok,? - Mathox,? - Julgane,15 - Martin (Ponk),? - Mathox,Laupok/Clem/Dema,Laupok/Martin,DemaZelle/Laupok,Mathox joue son idol sur Lvcyd (F7),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,Mathox qui construit son Harem,16/20,
22/03/2025 22:54:27,Jimmy,? - Julgane,6 - Flannou,15 - Martin (Ponk),17 - Gomart,11 - Laupok,11 - Laupok,11 - Laupok,10 - DemaZelle,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,Anaee/Julgane,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",11 - Laupok,Les Hwasan développent une addiction aux croissants,18/20,Merci de content !
22/03/2025 22:54:27,Guill,? - Mathox,? - Mathox,12 - Kao,10 - DemaZelle,? - Anaee,? - Mathox,? - Humility,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Mathox/Guill,Mathox/Lvcyd,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Anaee,Julgane qui a passé sa vie à random.org au lieu de créer du content,18/20,
22/03/2025 22:54:30,Guill,? - Humility,? - Mathox,12 - Kao,11 - Laupok,? - Anaee,7 - Guill,? - Julgane,9 - Clem (ThatDanmGirl),? - Mathox,Mathox/Lvcyd/Flannou/Anaee/DemaZelle/Clem,Laupok/Martin,Mathox/Kao,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Humility, Anaee et Julgane qui tej Flannou sur les rocks (F6)",? - Humility,Les Hwasan développent une addiction aux croissants,20/20,"Merci aux organisateurs, vous êtes les best ! Tout a été géré en légende, vous êtes trop forts, mercii <3 !
Question : y'a moyen de découvrir les coulisses de votre côté ? (Comment on gère les épreuves, déséquilibres, dramas...)"
22/03/2025 22:54:31,Guill,? - Mathox,15 - Martin (Ponk),17 - Gomart,12 - Kao,? - Humility,? - Mathox,11 - Laupok,12 - Kao,? - Mathox,Guill/Lvcyd/Mathox/Humility,Mathox/Guill,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),L'alliance des filles recrutent Mathox et obtiennent la majorité (F11),12 - Kao,Julgane qui a passé sa vie à random.org au lieu de créer du content,18/20,
22/03/2025 22:54:32,Laupok,7 - Guill,6 - Flannou,17 - Gomart,11 - Laupok,? - Anaee,? - Mathox,? - Julgane,11 - Laupok,? - Mathox,Guill/Jimmy/Julgane/Laupok,Flannou/Jimmy,,,,Laupok fait un gros blindside sur Ponk (F15),11 - Laupok,Les verts ont tout perdu,20/20,Gg au staff
22/03/2025 22:54:39,Guill,7 - Guill,11 - Laupok,16 - Sundae,7 - Guill,? - Humility,? - Mathox,? - Mathox,8 - Jimmy,? - Mathox,Anaee/Julgane/Guill/Jimmy,Mathox/Guill,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Flannou joue son idol (F10),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",7 - Guill,Kao et ses vannes sur tout (notamment les champignons),17/20,"GG l’orga, le staff et les participants 👏"
22/03/2025 22:54:40,Guill,? - Julgane,? - Mathox,15 - Martin (Ponk),8 - Jimmy,11 - Laupok,? - Mathox,? - Mathox,6 - Flannou,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Mathox,Guill/Jimmy,Jimmy joue son idol sur lui-même (F10),Flannou joue son idol (F8),Jimmy qui cache son idol après le démineur,8 - Jimmy,Mathox qui construit son Harem,15/20,Merci pour cette saison même si j'ai tjrs la haine contre Mathox 
22/03/2025 22:54:40,Julgane,? - Julgane,? - Mathox,12 - Kao,? - Julgane,11 - Laupok,6 - Flannou,? - Julgane,5 - Lvcyd,? - Mathox,Anaee/Julgane/Guill/Jimmy,Flannou/Jimmy,Anaee/Julgane,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Julgane,Les Hwasan développent une addiction aux croissants,18/20,"Merci pour le chicken, on vous adores <3 <3"
22/03/2025 22:54:41,Mathox,? - Mathox,11 - Laupok,12 - Kao,11 - Laupok,? - Humility,6 - Flannou,? - Julgane,10 - DemaZelle,? - Mathox,Guill/Lvcyd/Mathox/Humility,Flannou/Jimmy,Mathox/Kao,Jimmy joue son idol sur lui-même (F10),DemaZelle ne joue pas son idol (F10),Laupok fait un gros blindside sur Ponk (F15),? - Mathox,Lvcyd qui vole tout sur les épreuves,15/20,
22/03/2025 22:54:43,Jimmy,7 - Guill,? - Mathox,15 - Martin (Ponk),15 - Martin (Ponk),11 - Laupok,6 - Flannou,? - Humility,7 - Guill,? - Mathox,Guill/Jimmy/Julgane/Laupok,Laupok/Martin,Humility/Guill,Jimmy joue son idol sur lui-même (F10),Ponk ne joue pas son idol (F15),,8 - Jimmy,Les Hwasan développent une addiction aux croissants,17/20,
22/03/2025 22:54:48,Guill,? - Julgane,? - Mathox,15 - Martin (Ponk),11 - Laupok,? - Humility,? - Mathox,? - Julgane,7 - Guill,? - Mathox,Guill / Julgane / humility / Anaee,Flannou/Guill,Humility/Guill,Mathox joue son idol sur Lvcyd (F7),Ponk ne joue pas son idol (F15),"Laupok crie haut et fort avoir eu l'extra-vote, déstabilisant l'autre équipe (F13)",? - Humility,Les verts ont tout perdu,15/20,Super saison
